,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
cold_lbp_25_18,26.0,0.012191786269796378,0.0022449330595510904,0.006864659926470588,0.011264935661764706,0.01198586856617647,0.013803998161764705,0.017738970588235294,-0.08171443658483006,0.6493041872504337
cold_lbp_25_19,26.0,0.0125547935520362,0.002802307235210724,0.005704273897058823,0.011134248621323528,0.012543083639705882,0.014000746783088235,0.01870404411764706,-0.001350313153303181,0.5048588077087244
cold_lbp_25_20,26.0,0.014202577064479638,0.0036347239467555393,0.006318933823529412,0.011625402113970588,0.01389016544117647,0.016167853860294117,0.021932444852941175,0.25700766091540755,0.1351775156754078
cold_lbp_25_21,26.0,0.014187111142533938,0.00376846703734274,0.006744025735294118,0.011836511948529412,0.014076861213235294,0.016222426470588233,0.02312155330882353,0.35357090777038375,0.17617335899835052
cold_lbp_25_22,26.0,0.013351951357466064,0.004323803148226699,0.005755974264705883,0.010266831341911765,0.012896369485294119,0.015564682904411764,0.023161764705882354,0.534159928752346,-0.016810938956471677
cold_lbp_25_23,26.0,0.009113184035633484,0.0023339770501416795,0.00456686580882353,0.007436236213235294,0.008740234375,0.010683306525735294,0.01565372242647059,0.6352436061996231,0.7573228341262421
cold_lbp_25_24,26.0,0.6341867576357466,0.03883169599334156,0.535207950367647,0.6078828699448529,0.6387580422794118,0.6660371668198529,0.709036075367647,-0.4587409134984852,0.024531785422382768
cold_lbp_25_25,26.0,0.0822968219739819,0.02089994656871124,0.025700827205882352,0.07013585707720588,0.07971909466911764,0.09665958180147059,0.12464384191176471,-0.3335506961936034,0.6208545228402369
cold_area_pct_30,26.0,31.408194287330318,1.1520499256671113,30.139590992647058,30.715619255514703,31.00442325367647,31.874569163602942,34.198069852941174,1.0505940678801475,-0.05221329308915568
cold_mean_30,26.0,136.05852837353163,28.016897354491935,86.52531785925488,107.7534580334331,134.6347578934865,164.86204126980545,171.66598034966046,-0.17748475864543226,-1.4358648253956594
cold_std_30,26.0,12.154661159666055,4.7103129424958405,6.178808345149904,9.484174209164882,11.470420203560186,13.19202653993722,30.259105253251676,2.2517395724155116,6.516498355360678
cold_median_30,26.0,139.30769230769232,27.97966294403023,89.0,112.0,138.0,165.75,176.0,-0.17870016353841908,-1.3726877648131692
cold_lbp_30_0,26.0,0.005688145149886878,0.0016028567685484518,0.0019646139705882353,0.004927332261029412,0.005620978860294118,0.006521426930147059,0.008208869485294118,-0.4341284219405135,-0.018110149402582376
cold_lbp_30_1,26.0,0.00290980274321267,0.0007356696227258336,0.001011029411764706,0.002477309283088235,0.0028262867647058823,0.0034567440257352944,0.004153262867647059,-0.3299256470824264,0.09424328965652817
cold_lbp_30_2,26.0,0.003195480415723982,0.000790263407564573,0.0009420955882352941,0.002890912224264706,0.0031393612132352942,0.0038387522977941175,0.004549632352941177,-0.7114352823775005,0.7853007636253224
cold_lbp_30_3,26.0,0.0032893806561085973,0.0009003704408984532,0.0012178308823529412,0.0027803308823529413,0.0034265854779411764,0.003909122242647059,0.004917279411764706,-0.5090111412482831,-0.3404649482900508
cold_lbp_30_4,26.0,0.0033200915582579185,0.0009010114571411729,0.0015280330882352941,0.0027056525735294117,0.0033949908088235295,0.0038947610294117647,0.005083869485294118,-0.009138877576845025,-0.6194606775410327
cold_lbp_30_5,26.0,0.004248267816742082,0.0011271918343772481,0.0019244025735294119,0.0035055721507352942,0.004170496323529412,0.004895737591911765,0.006652113970588235,0.17688536992235832,-0.39119779869374716
cold_lbp_30_6,26.0,0.004303724194004524,0.0010353851360339846,0.0024988511029411763,0.0035457835477941176,0.004098690257352941,0.005052274816176471,0.00598000919117647,0.11194452426262275,-1.1779651424924438
cold_lbp_30_7,26.0,0.0060113829185520365,0.0010307050396660142,0.0039005055147058824,0.0052490234375,0.005977136948529412,0.006771312040441176,0.007657398897058823,-0.0674987319973108,-0.8781093103138429
cold_lbp_30_8,26.0,0.008422520149886878,0.0009020210520904608,0.006881893382352941,0.007867072610294117,0.008340992647058823,0.009138039981617647,0.010024126838235295,-0.08020902882661735,-1.0837314477626319
cold_lbp_30_9,26.0,0.011420257706447964,0.001032451956135726,0.008926930147058823,0.010895852481617646,0.011566521139705882,0.01191119025735294,0.013114659926470588,-0.599348692210493,0.18337923427157232
cold_lbp_30_10,26.0,0.014715161906108597,0.0022502110652773528,0.010127527573529412,0.013399011948529412,0.014657054227941176,0.01613051470588235,0.021036305147058825,0.46119308264350023,0.8733084692178026
cold_lbp_30_11,26.0,0.020977313701923076,0.004869359591948898,0.014458869485294118,0.018070714613970588,0.019838579963235292,0.02258013556985294,0.03669577205882353,1.3425520116701444,2.262795995417741
cold_lbp_30_12,26.0,0.022113617081447958,0.007171103312582957,0.013407628676470587,0.01801901424632353,0.019901769301470588,0.023904239430147058,0.047122012867647056,1.8194566711729059,3.8184378761370956
